Antibiotic_class,GZC4,SCC7,YGC26,YNC10,YGC3,SCC18,YNC18,GZC39,YNC4,SCC27,YNC8,GZC10,YNC11,SCC9,YNC34,GZC45,YNC22,SCC6,YGC36,GZC7,YNC39,YNC40,GZC41,SCC4,GZC26,SCC12,YNC12,GZC9,GZC14,YNC31,SCC1,YGC31,YGC8,SCC5,YGC16,GZC1,YGC9,GZC37,YGC2,SCC11,GZC42,GZC46,YGC41,SCC22,SCC29,YGC18,SCC25,SCC17,YGC11,YNC17,SCC10,YNC37,YGC12,SCC3,YNC45,YGC47,GZC38,GZC36,YNC43,GZC33,SCC28,SCC23,YGC39,YGC51,SCC19,YNC9,YGC4,GZC12,GZC43,YNC46,SCC20,YNC35,SCC24,YGC15,YNC32,SCC16,GZC44,YGC43,YGC38,YNC24,YGC52,GZC40,YGC27,SCC15,YNC29,YGC48,GZC27,YGC45,GZC18,SCC8,GZC30,GZC32,GZC5,YNC44,GZC13,SCC30,YGC5,YGC50,GZC25,YNC47,YNC41,YGC53,GZC20,GZC3,YNC26,YNC7,YNC36,YGC14,YGC7,YGC1,SCC26,SCC21,SCC14,YNC3,YNC25,YNC15,SCC13,YGC25,GZC16,SCC2
Glycopeptide,82,350,586,74,1526,1756,4504,356,1942,256,216,242,474,840,4070,12,720,158,416,6092,314,1290,124,1388,2,568,1612,240,50,906,1006,264,3394,1360,3238,4582,484,78,774,1342,158,10,244,306,624,2938,398,2094,2718,1832,270,2620,120,960,4206,1714,572,12,2040,2,292,446,0,138,586,618,1614,960,20,174,1416,2824,842,272,3876,1946,238,22,58,4822,2446,148,2690,362,2334,794,236,756,4430,1182,3510,256,378,336,136,312,186,5984,3838,34,1116,2622,90,100,3620,420,40,42,720,520,306,412,226,2462,772,2456,1408,210,4702,124
Glycopeptide,180,40,18,66,20,6,12,34,10,8,18,16,22,92,2,4,20,10,2,20,2,8,134,4,4,28,6,34,42,10,20,16,34,24,10,34,12,84,122,22,144,0,24,22,44,36,6,2,26,118,38,10,34,64,28,10,16,0,4,0,262,20,0,28,56,2,80,34,20,12,10,16,6,2,10,8,4,18,14,18,4,24,6,114,8,10,42,4,36,4,64,48,32,0,28,12,40,6,24,0,2,36,14,4,10,4,2,24,26,16,2,44,24,0,6,18,16,18,32,4
Glycopeptide,380,102,158,36,200,1006,1812,166,798,18,90,76,82,422,1562,4,14,46,78,3746,6,2,126,524,0,210,872,40,28,26,344,84,1842,488,1286,1880,14,142,50,564,766,2,72,74,340,206,28,1018,794,748,82,1064,62,458,2532,406,288,6,708,2,44,40,2,36,82,268,86,162,50,34,642,1236,430,92,1698,814,140,24,18,2246,786,76,774,46,34,170,106,54,2160,448,1634,126,138,0,94,76,12,3642,1954,0,0,594,46,12,1696,214,22,20,90,52,210,34,52,994,8,946,74,98,2224,30
Fluoroquinolone,3996,3610,12272,1412,14600,21310,23926,7270,19542,1350,22566,2152,2038,5954,26494,20870,14480,780,18638,21960,11704,34714,662,13836,4126,4240,17116,1402,406,10258,14042,5842,16336,12994,22932,13252,23588,3702,11360,17510,3492,18884,5120,1916,3916,22900,3118,15280,13698,10284,1512,10742,3674,5142,26552,26246,13604,20970,22402,1744,3042,2432,8302,17060,2514,16542,21568,8236,1994,3872,10904,18318,19814,5638,22188,13818,1832,7838,12942,22210,17112,2412,11152,4478,27128,6344,2178,8584,14062,5672,14298,1092,2436,18434,1580,3880,11742,19778,14748,1854,28238,11684,1686,1464,18382,12068,11558,9958,8682,9488,3178,2780,2152,13502,19316,25204,19732,5052,15738,1052
Fluoroquinolone,5926,2716,3138,2880,4556,3496,6960,2192,4226,1898,5702,4008,2562,3110,6354,19914,2382,890,6870,9594,2834,2438,1354,4172,3752,1738,5806,2682,748,2752,2376,3062,6502,3784,6008,5670,12062,3824,3844,5724,5336,16630,2998,2724,1758,5780,2000,4108,5556,3490,2226,4084,2628,2606,18138,11334,12552,18838,4754,1262,1512,2772,1928,3938,3078,6154,2802,6912,2278,2500,2300,5128,6708,3014,6024,3344,1120,10216,910,6932,9152,2030,3872,934,3486,2608,1548,2898,6604,3366,6694,1284,2964,11034,1642,2166,1468,9484,6298,4198,2024,3690,2164,2674,6068,3430,10602,2556,3710,2270,2304,4076,1108,4880,2262,5208,2332,3032,7096,382
Multidrug,6,58,14,504,0,0,0,2,0,2,0,0,12,2,0,0,10,16,4,0,0,18,10,0,4,34,0,0,4,0,64,20,0,14,0,2,0,22,0,104,6,2,30,2,454,4,4,256,4,12,2,0,10,8,0,0,0,2,24,0,24,6,4,52,4,0,0,0,2,0,28,0,180,12,0,90,2,2,0,0,0,2,0,82,0,0,2,0,0,16,2,6,0,0,24,108,6,0,0,12,12,0,0,4,0,0,0,2,42,18,0,0,740,30,4,0,0,32,0,2608
Fluoroquinolone,106,54,8,198,20,2,634,20,44,50,112,146,1618,46,2,14,30,8,38,8,4,0,30,22,2,120,28,80,48,16,132,6,0,116,24,22,154,16,2,5174,58,38,94,158,584,10,4,114,190,6,18,24,20,94,4,18,92,34,78,20,28,18,6848,32,16,1470,24,238,132,1004,52,6,238,62,648,50,2194,598,2,6,3316,0,264,400,0,14,26,6358,28,324,30,48,78,0,32,2190,52,0,12,2,0,1190,6,722,202,980,500,2,170,14,10,14,512,3652,160,996,4,2,380,3170
Fluoroquinolone,362,30,60,118,34,4,392,54,44,2,120,62,1266,0,34,16,14,4,42,18,2,0,216,0,0,10,4,140,298,4,0,8,10,2,22,88,130,108,22,3350,208,36,124,98,344,10,8,0,154,12,2,20,84,36,2,42,78,18,42,22,4,4,4690,76,0,1188,64,294,144,1042,0,4,182,52,472,10,1608,192,60,4,2142,16,252,6,2,16,74,5054,10,0,8,240,230,0,64,1528,94,2,16,32,2,906,14,278,156,786,354,12,670,22,4,0,60,2820,128,858,0,14,262,2084
Beta-lactam,62,0,14,0,388,0,0,4,4,0,0,0,34,0,0,0,64,0,0,0,6,8,78,0,4,0,0,4,0,0,2,14,0,0,6,2,2,116,2,0,62,0,32,0,0,214,0,32,96,0,0,0,10,0,6,0,4,0,4,0,14,0,2,0,0,2,0,0,0,138,0,14,2,4,6,0,0,5114,426,0,1112,184,12,0,20,0,142,0,0,0,0,0,2,0,2,0,2,66,0,0,6,104,278,0,0,0,4,2,0,2,0,0,62,0,2,0,0,28,2,2
Multidrug,94,210,226,1220,20,322,372,36,298,226,56,152,120,236,338,2,26,78,150,242,6,28,68,184,4,244,370,130,12,14,156,28,468,168,240,32,22,52,20,422,62,164,26,4470,164,106,142,136,170,1270,196,352,56,196,558,116,50,172,184,0,32,222,0,20,302,160,28,46,24,72,268,280,74,14,294,336,10,22,18,586,36,10,78,28,42,56,36,40,310,196,172,28,64,24,156,100,72,340,244,0,2,40,6,2,412,68,86,32,180,36,302,236,22,508,28,352,52,32,298,6
Multidrug,6,26,586,108,14,18,74,18,34,4,2,54,16,18,24,0,52,4,38,12,10,58,8,18,0,8,2,12,0,12,44,898,24,30,16,12,16,10,18,22,4,48,884,12,318,74,48,36,26,58,8,18,38,2,2,30,8,114,22,0,36,26,0,14,8,8,16,24,12,20,50,16,30,1188,28,16,8,36,0,20,12,344,16,42,86,16,180,10,60,10,36,2,2,0,46,146,18,6,26,0,40,22,516,6,30,0,20,10,266,1672,18,4,162,28,92,40,70,710,24,1124
Fosfomycin,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetracycline,226,92,38,52,244,6,466,14,336,16,320,16,2312,32,6,6,24,20,26,4,2,2,132,4,2,124,40,108,100,40,2,10,2,10,26,2,70,76,8,5462,184,8,180,1838,580,4,54,0,218,12,114,66,24,42,46,2,10,0,90,14,4,256,4908,22,58,1570,20,8,126,1222,6,4,246,72,1030,12,408,340,8,2,3710,4,356,6,2,0,10,2264,14,12,0,86,18,0,86,3792,52,0,4,0,2,968,0,44,410,844,270,0,202,26,52,114,204,7848,372,6,0,12,356,32486
Tetracycline,78,878,2,130,0,54,0,0,0,0,6,0,16,22,0,0,2,28,22,0,2,0,2,14,0,936,0,0,2,10,86,0,0,80,0,0,90,0,0,690,0,0,12,392,2,0,0,0,0,4,12,0,2,148,4,14,2,0,4,4,0,0,0,0,2,56,0,0,26,164,48,4,0,4,18,78,0,468,2,0,30,0,2,32,2,8,0,9972,0,136,0,2,0,0,20,0,60,0,0,24,0,0,0,0,14,184,210,2,0,2,0,0,102,168,4,0,2,4,0,298
Tetracycline,94,0,6,0,8,0,0,0,26,0,0,16,18,0,16,0,0,0,2,0,0,0,32,2,2,4,0,2,16,0,0,0,2,0,0,0,0,8,2,0,36,2,10,4,0,0,2,0,2,0,12,4,0,4,0,0,6,0,0,0,0,4,0,4,0,0,2,0,20,0,0,0,0,12,0,0,0,0,4,0,0,0,4,4,0,0,6,0,0,2,0,8,4,0,10,0,0,0,6,0,0,4,2,6,34,0,0,2,24,2,0,20,4,0,0,0,0,8,0,102
Tetracycline,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fosfomycin,0,16,2,0,222,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,24,6,4,0,2,0,0,0,0,0,0,0,26,0,0,2,0,0,66,0,0,2,74,0,0,0,0,0,4,0,48,0,2,20,0,0,2,2,0,0,6,0,26,22,0,0,0,2310,216,0,620,6,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,46,0,0,0,0,0,0,60,24,0,0,2,0,0,0,0,44,0,6
Tetracycline,0,0,0,0,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Tetracycline,230,500,28,0,10,24,20,22,246,0,20,40,84,26,32,0,0,22,10,0,0,0,104,16,0,338,2,36,12,84,130,50,6,82,0,0,4,46,0,192,228,0,78,4554,2,2,0,80,2,6,4,4,0,238,0,2,2,0,0,0,0,0,0,0,14,2,0,4,0,2,34,2,0,20,2,70,8,2,0,0,0,4,0,220,0,0,8,0,0,314,12,6,6,2,30,70,0,0,12,0,0,0,0,6,62,2,2,14,158,6,0,0,424,2,0,4,8,26,0,622
Tetracycline,8,762,18,0,0,42,0,32,6,0,0,206,2,142,2,0,0,36,0,0,0,0,4,36,0,894,0,32,2,236,572,52,0,464,0,22,0,0,0,616,4,0,50,382,8,0,2,586,0,4,6,0,0,362,4,0,0,2,0,0,18,0,0,0,38,10,0,890,10,154,102,0,0,42,0,192,312,0,0,6,0,0,0,2198,0,0,0,0,0,1126,352,30,166,0,44,248,0,0,78,0,0,0,0,606,80,10,0,0,0,28,0,2,1420,0,6,0,8,144,16,672
Tetracycline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetracycline,24,320,4408,6,62,118,6,36,16,20,68,20,558,256,0,0,230,38,18,0,32,198,458,218,32,2468,2,0,22,0,1134,8526,100,636,4,0,10,320,160,348,100,4,4710,64,15718,10,5110,208,142,8,2,118,32,1160,12,6,4,0,422,8,546,16,2,6,32,14,28,52,6,1046,860,286,804,12686,398,202,6,12,28,0,14,2580,8,2356,128,0,1710,12,0,194,2,16,0,4,72,16086,12,82,10,24,72,4,4474,2,0,30,24,38,0,17232,6,14,4138,14,18,24,26,6746,0,34168
Tetracycline,1504,3364,18848,3932,15168,3390,11586,3654,21964,554,13902,1104,3712,1350,21280,21226,20160,322,20728,5266,13858,23634,406,7736,4626,3136,13300,136,438,8694,7352,21598,9664,8046,13906,4996,24570,2188,14026,9136,2182,14440,14288,4282,3612,22942,3512,5576,10212,1216,94,8584,5576,9148,26598,23606,9750,16466,19316,1458,4822,998,8018,14712,410,37578,26836,5986,1348,12482,4106,12626,21824,19976,12156,4584,1842,6688,14286,15556,8206,100,16712,2622,12978,4516,112,3558,1930,2918,2280,418,1250,6092,3920,11274,5044,12300,2664,840,18362,13582,62,1070,12160,17150,12618,3966,8314,29934,2378,454,7904,11358,9676,21646,3188,21154,2596,24630
Tetracycline,1446,364,1290,19662,88,144,1046,554,424,40,532,806,1680,94,440,64,8062,92,1826,60,1530,606,534,152,108,176,104,372,474,1526,180,62,322,176,2,536,924,8148,10,1612,1102,1710,1404,294,56,1736,60,178,236,5544,78,196,1672,62,14,0,104,2756,262,24,4,78,6,198,190,736,6,152,456,236,88,42,160,172,438,642,282,454,98,234,8,452,0,790,2638,0,632,2,30,950,394,396,618,4322,2466,12,128,4,14,160,290,4,434,90,268,628,932,40,5048,128,6,152,276,1400,5180,982,26,342,90,86
Tetracycline,540,398,1486,16,88,136,36,1066,322,2,64,28,1556,24,194,34,28,22,136,24,0,12,366,22,18,390,22,90,164,46,294,1560,28,76,14,70,40,460,46,322,450,4,3358,2204,22,92,2,28,84,6,0,26,150,1770,6,52,96,2,4,6,5816,14,0,582,28,40,80,138,222,1002,98,8,16,2066,16,246,152,154,24,16,14,204,30,214,2,8,306,0,0,246,28,554,228,0,212,342,144,2,44,0,8,76,50,214,438,76,30,242,308,1682,0,0,424,46,6,28,26,2988,14,68
Tetracycline,72,224,16,0,0,42,0,48,22,0,6,1002,10,170,0,0,2,36,0,24,2,2,22,72,0,560,0,164,68,112,492,44,2,402,0,22,0,6,0,714,12,0,72,22,8,0,4,448,0,8,4,0,0,328,6,0,0,0,0,2,780,0,0,0,32,0,0,782,4,474,114,0,0,34,0,180,30,0,0,10,0,0,2,1660,2,0,4,0,0,1068,414,46,296,0,32,90,0,0,186,0,0,0,2,3870,214,6,2,0,6,22,0,2,2540,0,6,0,14,88,12,586
Tetracycline,200,1844,4134,46,44,320,14,56,250,8,96,24,684,88,68,2,18,64,150,4,18,32,170,204,16,1132,12,8,40,82,2064,3186,54,300,8,4,112,196,4,1776,154,0,2458,9258,356,54,54,232,90,628,2,40,66,10838,2,4,0,20,192,4,13194,24,0,4,96,16,4,12,6,390,284,74,98,2606,114,1332,2,154,2,56,6,188,6,672,2,8,178,0,2,1552,2,8,16,6,552,1158,0,8,0,0,6,40,308,28,36,54,18,38,168,2322,0,0,2010,56,2,10,168,4292,0,490
Tetracycline,2946,9976,18292,6348,18846,4410,19184,8560,22754,1120,22858,1764,9452,1862,44050,32352,28400,1084,42152,7324,19332,5220,884,8872,7898,4604,20932,314,666,55742,10184,15474,8334,9266,18826,9544,44526,3668,21058,26648,2918,24338,11994,11506,3590,33810,4616,6860,15094,1480,304,16380,6234,8646,32256,34748,16884,27112,34852,2476,11318,1456,11786,21816,844,40052,41078,7984,2218,22744,5326,17686,40874,11954,17894,6680,3024,2290,18750,27708,8092,2308,15854,3632,12618,6786,1272,4776,5258,18800,6712,630,1880,80804,5484,6830,9384,5302,6066,1322,5486,14160,1284,3274,22318,27934,27914,6660,12930,16488,3588,678,12454,13572,11688,30598,3024,16284,6598,8522
Tetracycline,628,2000,3066,19348,1934,3598,6004,1106,7196,2742,3228,6744,872,3892,5670,1304,5212,624,1332,7114,924,6614,410,2822,394,2086,2182,2722,124,1582,2306,1434,5730,2868,3726,4462,2272,1290,936,4268,1066,1240,1152,1830,3254,4692,2412,3766,3158,10910,2154,2972,1674,1848,5172,2256,1576,1256,4428,602,966,3318,354,810,4244,7360,1966,1368,192,640,2814,5776,1502,1106,6126,3430,368,516,474,6490,2932,834,3170,1092,4512,1026,714,1268,5444,1618,4478,288,898,1878,1166,2624,1212,7252,4776,70,4610,3490,696,216,5234,2012,692,652,1932,2186,2302,4428,458,4616,3842,5804,3948,978,5414,480
Tetracycline,264,8576,296,4724,28,244,58,162,106,15122,74,3080,156,10492,24,166,126,1094,84,20,38,78,126,186,38,6622,22,6294,184,24,186,80,256,3180,34,34,50,172,66,3558,334,146,58,4562,4136,78,12084,26,12,3664,20014,14,98,164,94,26,196,340,26,16,1208,13294,4,268,10344,96,68,192,122,156,318,210,494,44,98,302,1774,46,44,16,8,28,44,182,64,14,72,124,2004,252,120,208,2512,18,270,2746,630,0,60,762,48,32,30,288,102,44,340,210,226,50,14684,19716,146,134,62,68,2,84,8,698
Tetracycline,250,1300,1796,498,586,526,548,336,600,282,304,1024,484,606,1070,64,744,144,464,738,252,118,122,278,34,1852,466,500,450,2328,1200,1410,722,918,488,444,448,834,208,2286,242,48,1880,1836,448,378,546,622,270,614,312,538,188,2936,856,446,192,38,520,8,11582,272,150,150,390,380,298,664,112,894,688,580,2080,1480,610,728,346,1994,232,1254,1324,100,274,2798,174,112,126,278,676,1742,1208,210,524,2016,360,2798,156,736,620,96,80,276,70,8132,1064,388,168,1132,234,1504,370,520,3358,590,282,610,152,1180,718,990
