,YNC11,GZC36,GZC25,YNC4,SCC25,GZC3,GZC45,YGC27,GZC42,YNC8,GZC30,GZC5,SCC15,SCC19,YNC37,YGC25,GZC20,SCC8,GZC18,GZC1,YGC1,YGC47,YNC7,SCC29,YGC14,YNC25,YGC9,SCC14,YGC26,YNC47,SCC22,SCC27,YNC29,SCC7,YGC15,YNC17,YGC8,SCC24,SCC23,YNC32,GZC16,SCC28,SCC1,SCC18,YGC7,GZC27,YNC3,SCC13,YNC34,SCC21,YNC45,GZC7,YGC2,YGC3,YNC35,YNC22,SCC12,YGC50,YGC41,GZC13,GZC10,YNC9,YGC39,SCC5,YNC36,GZC4,YGC18,YNC15,YNC26,SCC9,YGC11,YGC5,SCC3,SCC2,YGC36,SCC17,YGC38,YGC48,SCC6,YNC46,GZC12,GZC41,GZC40,YGC43,YGC45,SCC16,GZC39,YGC16,SCC26,YGC4,YGC53,GZC46,YNC43,YGC52,GZC38,GZC33,SCC4,YNC40,YGC12,YNC39,SCC11,SCC20,YNC44,GZC43,GZC9,YNC18,GZC37,GZC44,YNC41,GZC32,SCC30,YGC31,GZC26,YNC12,YNC10,YNC31,YGC51,GZC14,SCC10,YNC24
d__Bacteria;k__unclassified_d__Bacteria;p__Firmicutes,0.552897461,0.915343807,0.964160511,0.889774525,0.61462585,0.344570692,0.967449386,0.934346871,0.488807393,0.942285146,0.904859112,0.650393531,0.533693695,0.619410368,0.985799907,0.620175197,0.599205053,0.634698745,0.939187362,0.962752626,0.799795986,0.97394843,0.860147572,0.765345758,0.897947345,0.961742445,0.960907115,0.484357097,0.786522427,0.303033577,0.339113321,0.458762242,0.984777134,0.480157692,0.682454911,0.762059668,0.937323668,0.954218646,0.519887886,0.913868951,0.937801271,0.498653763,0.791256486,0.962340202,0.853168556,0.51219407,0.580571854,0.978848355,0.974357767,0.551152312,0.986223847,0.987703977,0.967188526,0.86035867,0.975180543,0.968533987,0.505155354,0.988283168,0.656331619,0.646982384,0.689275203,0.841238091,0.363163005,0.77251804,0.786242381,0.514129757,0.947539696,0.884467541,0.894244123,0.605072254,0.904988829,0.936576605,0.489669201,0.484327669,0.928058501,0.870431352,0.869234144,0.95844241,0.583705806,0.654644609,0.758061186,0.315768008,0.546129367,0.926380983,0.342507546,0.871589742,0.793911723,0.984850195,0.477101997,0.972126512,0.847290676,0.92121816,0.97779594,0.661395943,0.797107521,0.975908295,0.959711649,0.984146392,0.801419889,0.979484729,0.552260983,0.938364485,0.994105785,0.896630911,0.502364529,0.923881626,0.727169464,0.129325344,0.989346071,0.408189517,0.658632107,0.72397964,0.94113214,0.983791554,0.849565351,0.968517319,0.940158977,0.182462449,0.361613868,0.98675549
d__Bacteria;k__unclassified_d__Bacteria;p__Proteobacteria,0.259046745,0.005739828,0.021469511,0.04424589,0.015663217,0.571403632,0.004348216,0.049642035,0.052661772,0.020883806,0.085440452,0.169319753,0.413388238,0.022969338,0.00532511,0.026372566,0.002525794,0.278271103,0.009862744,0.014668321,0.025574833,0.007372192,0.11205056,0.071048114,0.00651336,0.020757794,0.022136349,0.430333341,0.015024438,0.038256865,0.315011919,0.022598564,0.00577627,0.244995304,0.052939324,0.003306652,0.005112621,0.028634668,0.027250269,0.067293116,0.054969266,0.035373067,0.111644241,0.013747781,0.055732419,0.029498923,0.394211393,0.007139289,0.005971852,0.023429142,0.003110862,0.006180879,0.007601323,0.009412523,0.003246693,0.004901205,0.279810833,0.003194164,0.0522896,0.091278757,0.17420192,0.141595358,0.614529837,0.1414732,0.055008862,0.075562728,0.009765178,0.105493286,0.052568129,0.049310816,0.037796356,0.012087599,0.147728927,0.472998905,0.009643196,0.111718889,0.00647436,0.011509698,0.121159239,0.189464114,0.183607035,0.102119055,0.003459042,0.053840327,0.632811543,0.073335727,0.102065492,0.006524044,0.009863541,0.009652545,0.137915277,0.006408211,0.008817029,0.31975969,0.01533365,0.004078287,0.021630081,0.002692385,0.029230694,0.003638179,0.340776571,0.036952202,0.001128028,0.034160084,0.103915909,0.066356654,0.020192272,0.848672647,0.00290139,0.236864404,0.228601066,0.019810766,0.001087734,0.005321875,0.028170877,0.016266923,0.009284881,0.317924297,0.033039798,0.004886226
d__Bacteria;k__unclassified_d__Bacteria;p__Actinobacteria,0.159272882,0.063748553,0.005944831,0.037119931,0.064237376,0.068114872,0.008960159,0.006325889,0.404108076,0.028052235,0.003414885,0.062814408,0.037064777,0.083816135,0.005206566,0.307904337,0.118981669,0.077530549,0.008043577,0.015206416,0.14524659,0.012404061,0.009931491,0.042760201,0.052104578,0.007072043,0.009391062,0.069609036,0.172526829,0.452698747,0.223227292,0.044233779,0.004109896,0.082870803,0.213864953,0.110080401,0.048963539,0.004008466,0.033014608,0.010630402,0.002526102,0.45604664,0.091631894,0.016998082,0.068264295,0.144785554,0.01338919,0.010398699,0.013390625,0.051311175,0.007830619,0.001742173,0.016527163,0.015435764,0.013606703,0.014925217,0.052682048,0.003076314,0.257378473,0.149877648,0.049392772,0.005098805,0.000850917,0.022887962,0.152323428,0.364540947,0.027196191,0.004957421,0.033731186,0.047230556,0.026556635,0.025350554,0.354395072,0.022114545,0.022946753,0.014162947,0.011547577,0.023364737,0.051522717,0.145132352,0.053357538,0.505292211,0.123859646,0.014496793,0.003813316,0.040924919,0.053781884,0.004582867,0.145829143,0.011985759,0.009137122,0.061371304,0.009522095,0.003233312,0.079140733,0.018317918,0.010996789,0.005046994,0.150987391,0.009362448,0.053520141,0.013082151,0.000599812,0.042802806,0.0679337,0.004574977,0.172018814,0.017818768,0.003374671,0.136774102,0.042170283,0.224681964,0.053992988,0.007804962,0.024276892,0.007669573,0.023805421,0.152478135,0.023274347,0.004783679
d__Bacteria;k__unclassified_d__Bacteria;p__Bacteroidota,0.006458832,0.000107737,0.000774785,0.024427269,0.2726306,0.009198345,0.000332233,0.000314541,0.027279681,0.005434376,0.002401003,0.102726444,0.005712871,0.243752574,0.000256806,0.000498409,0.000532874,0.001904045,0.036592543,0.000343125,0.000289753,0.00019259,0.00027699,0.087497842,0.000166874,0.000410382,4.19E-05,0.006529451,0.003127298,0.193742405,0.104776466,0.420669872,0.000407054,0.17420387,0.00146827,0.033830426,0.002120953,0.006326278,0.389609371,0.00164661,9.75E-05,0.004250661,0.000630706,0.003470511,0.011001209,0.001873506,0.000268242,0.000349791,0.000337497,0.333421475,0.000210575,0.000129758,0.000303315,0.00083106,0.001800567,0.001750027,0.135032804,4.44E-05,0.005733629,0.002926011,0.070327851,0.000206387,0.000108744,0.054845965,0.000193556,0.03274223,0.000142805,0.000478957,0.003442957,0.267048003,9.76E-05,0.000441413,0.002819312,0.00686558,9.80E-05,0.000120527,0.000187908,0.000112273,0.102774473,0.000358114,0.000495382,0.055642291,0.000227143,0.000360009,0.000252106,0.005051153,0.001528862,3.07E-05,0.339815529,0.000927253,7.58E-05,8.12E-05,0.000143738,0.000430984,0.000923096,0.000160603,0.003800892,0.00035749,0.00200426,0.000356666,0.034135242,0.00627414,0.000250703,0.005489203,0.18875256,0.000684449,0.004369379,0.000712049,0.000456166,0.019529027,0.046451451,0.000386663,0.00013112,6.38E-05,0.027138543,0.000722779,0.000209474,0.017021815,0.535644893,0.000209529
d__Bacteria;k__unclassified_d__Bacteria;p__unclassified_d__Bacteria,0.007125849,0.009812568,0.000708223,0.001219029,0.012272479,0.001453886,0.016611975,0.001242371,0.005128893,0.001453103,0.000807548,0.003136645,0.006727723,0.006517086,0.0013411,0.010730922,0.00143585,0.004427048,0.001571946,0.000676242,0.011312683,0.000756726,0.011872753,0.012727816,0.007275088,0.001965047,0.004463629,0.007173764,0.00846643,0.007526988,0.005948609,0.008863388,0.00148108,0.005816308,0.007833826,0.023432028,0.001582856,0.004228764,0.007673319,0.003313202,0.001142242,0.003849772,0.002090439,0.001432173,0.001461971,0.000902213,0.005645539,0.0010007,0.001269419,0.007885373,0.000852748,0.000559668,0.000776793,0.006553728,0.002549007,0.004045157,0.005576159,0.000762488,0.010148654,0.002743342,0.00605473,0.007823403,0.016996231,0.003026712,0.003409683,0.00387861,0.001293917,0.001842078,0.001358375,0.006115601,0.003941218,0.018166381,0.003184453,0.010402196,0.009026454,0.001589651,0.018202859,0.000913757,0.007642826,0.005962315,0.001106939,0.003882654,0.000844202,0.002384177,0.011816303,0.002203725,0.000796212,0.001191041,0.007318612,0.000946346,0.002166203,0.00847439,0.001387003,0.004309771,0.006331315,0.000523536,0.001234771,0.001961164,0.001666122,0.002021708,0.006230987,0.001703936,0.00162095,0.00297289,0.005535417,0.001377577,0.002796193,0.000647221,0.001855,0.00139134,0.017843116,0.007018196,0.001366746,0.000840855,0.006230922,0.002663685,0.012262799,0.001352368,0.006925442,0.001050703
d__Bacteria;k__unclassified_d__Bacteria;p__Chlamydiae,9.49E-06,5.37E-06,0.001663033,0.000898031,3.97E-05,0.000191348,2.52E-06,0.00145791,1.75E-05,0.000102205,0.001577025,0.00069394,0.000244614,3.51E-05,0.00043563,0.000191458,0.000283097,0.00026002,0.001194245,0.001646722,0.000282963,0.000838356,0.000103464,0.000128948,3.93E-05,0.000449222,0.00038281,4.17E-05,0.000322301,1.30E-05,1.54E-05,1.41E-05,0.001371682,6.47E-05,0.000199299,0.000272622,0.00095644,0.000212437,4.19E-05,0.000965278,0.001322367,5.34E-05,0.000323112,0.000390639,0.001826424,0.000613795,0.000777363,0.000957801,0.000757729,2.18E-05,0.000531662,0.001032285,0.000697324,0.001237947,0.000647312,0.000397966,0.000131901,0.001083705,0.000240681,0.00017664,0.000367675,0.000125591,1.24E-06,0.000417964,8.75E-06,7.02E-06,0.001713579,0.000997804,0.000797291,0.000132048,0.001503751,0.000150932,0.000175769,3.33E-05,0.000241146,0.00051466,2.73E-05,0.001997687,0.000714423,1.59E-05,0.001199472,0.001702068,0.000507876,0.000807731,0.00035464,0.000556812,0.001132616,0.000921188,2.22E-05,0.001086269,0.001272962,9.91E-06,0.000664188,0.000832144,0.000173367,0.000109424,0.000497252,0.000543032,0.002115527,0.000283428,0.000326336,0.000376132,0.000105264,0.000142006,0.096945549,0.001485842,2.37E-05,0.000811162,0.000617917,0.002106758,5.16E-05,0.00079962,1.00E-04,0.000455813,2.31E-06,0.000466945,0.00022777,0.256246686,1.66E-05,0.001024626
d__Archaea;k__unclassified_d__Archaea;p__Euryarchaeota,0.000119638,0.000114452,0.000888453,0.000205106,0.006386659,1.74E-05,7.67E-06,0.000136904,0.00085071,5.68E-05,0.000519065,0.001570039,0.000200512,0.010845903,7.41E-05,0.00120129,1.31E-05,0.000415905,0.001378089,0.000802886,0.000886944,0.000127154,2.32E-05,0.013604985,0.000131753,0.000330389,0.000588526,0.000451283,0.002339725,6.23E-06,0.004216818,0.015416834,0.000254276,0.004361361,0.001127283,0.026363898,0.002442394,0.000331659,0.005758483,0.000631133,0.001372972,0.000529239,0.000316006,0.00061883,0.002498385,2.71E-05,9.35E-05,0.00070016,0.00012396,0.004136086,4.31E-05,1.61E-05,2.19E-05,0.000958442,0.001047059,0.000186196,0.0095717,0.000705721,0.001023636,0.001092996,0.000864229,9.90E-05,1.37E-06,0.002108343,1.51E-05,0.000534485,0.00052711,9.15E-05,0.000180561,0.011883487,0.000134309,4.70E-05,0.000486411,0.000114185,0.026978128,0.000729557,7.97E-06,0.000257169,0.021472459,2.57E-05,0.00017444,0.002996791,2.06E-05,8.76E-05,2.30E-05,0.001764895,5.37E-05,0.000411506,0.003372613,1.76E-05,6.87E-05,2.61E-05,7.20E-05,0.000144973,0.001200234,8.69E-06,0.000985456,0.000861271,0.001193597,4.05E-05,0.008983514,0.001087588,0.00011123,8.66E-05,0.001813692,0.000195919,0.000622556,8.55E-05,0.000465127,0.00045241,0.002162754,0.002511869,2.30E-05,1.59E-05,0.030611854,8.27E-06,2.58E-05,6.36E-05,0.01316821,0.000202417
d__Bacteria;k__unclassified_d__Bacteria;p__Cyanobacteria,8.13E-05,2.76E-05,0.001972701,4.07E-06,1.37E-06,0.001926837,0.000273913,0.001063209,0.000139922,2.22E-06,4.91E-05,0.003545781,1.95E-07,4.40E-07,1.93E-05,3.66E-06,8.58E-05,3.95E-07,7.67E-06,0.002494584,1.72E-06,1.45E-05,4.85E-05,6.28E-07,8.92E-06,7.23E-08,3.53E-06,3.10E-07,1.46E-05,3.15E-05,5.00E-07,1.35E-06,2.82E-07,2.32E-07,2.75E-06,5.84E-06,5.79E-05,1.31E-07,6.17E-07,2.80E-07,1.43E-05,1.30E-07,8.12E-06,7.32E-08,1.61E-05,0.00267958,3.17E-07,2.47E-07,3.63E-05,3.06E-07,0,0.000103093,0.000539832,0.000396731,2.27E-07,1.99E-07,5.48E-07,2.08E-05,8.11E-06,0.010817227,0.002161086,8.86E-07,0,4.17E-07,2.19E-07,0.000277389,8.67E-06,4.39E-06,0.000749984,6.70E-07,0.000339442,4.64E-05,2.75E-06,3.37E-07,7.16E-05,0,0.00949092,7.94E-06,7.88E-07,6.50E-07,0.00038088,0.000519403,7.99E-05,7.57E-05,3.11E-07,1.82E-07,0.042230751,1.58E-05,1.08E-07,0.000278093,0.000587912,7.57E-05,3.49E-07,1.97E-05,0.001034118,6.68E-05,2.95E-07,4.71E-07,0.002137203,9.52E-08,5.24E-07,2.58E-07,8.14E-07,0.010253942,0.009975459,7.23E-07,0.000263652,0.000548576,3.67E-07,0.106683458,1.43E-07,2.79E-06,0.000377352,5.36E-06,3.17E-05,6.58E-05,1.76E-05,0.004805717,1.12E-06,4.13E-06
d__Bacteria;k__unclassified_d__Bacteria;p__Spirochaetes,8.52E-06,3.45E-06,9.42E-06,4.24E-06,0.00601177,3.12E-06,1.31E-06,4.68E-06,3.00E-05,5.35E-06,2.46E-05,0.000695205,1.11E-05,0.005309462,3.21E-06,8.68E-06,8.07E-06,4.75E-05,0.000108006,4.49E-06,6.72E-06,5.78E-07,1.79E-06,0.003077531,1.79E-05,7.09E-06,6.80E-06,2.99E-05,2.87E-05,7.30E-06,0.00225121,0.013658609,1.01E-05,0.001992645,6.04E-06,0.022746012,3.10E-05,0.000119156,0.000291515,8.55E-06,3.32E-06,6.19E-05,1.60E-05,4.01E-05,5.78E-06,7.04E-06,2.46E-06,5.94E-06,1.54E-06,0.014452523,3.58E-06,2.07E-06,2.45E-06,3.13E-06,1.70E-05,2.33E-05,0.002913043,3.40E-06,8.70E-06,2.41E-05,0.000920085,6.33E-07,3.26E-07,0.000800298,6.78E-06,2.20E-05,1.61E-05,6.65E-06,2.81E-06,0.006819494,2.56E-06,3.24E-05,2.52E-05,8.98E-05,0.00013674,4.54E-06,8.85E-07,2.94E-07,0.000685279,2.79E-06,2.87E-06,7.27E-05,7.55E-06,2.19E-05,8.46E-06,0.000104305,4.21E-06,1.87E-06,0.003510704,1.38E-06,3.57E-07,5.14E-06,8.94E-06,5.72E-07,1.65E-05,4.58E-06,2.72E-05,1.14E-05,1.04E-05,4.29E-06,0.000679223,0.000147601,2.01E-05,9.36E-06,0.008706919,1.66E-06,6.01E-05,3.25E-05,9.84E-06,4.04E-05,0.001381835,1.06E-05,1.19E-05,1.07E-06,0.027259889,1.22E-06,3.70E-06,7.35E-05,0.014162148,2.37E-06
d__Bacteria;k__unclassified_d__Bacteria;p__Tenericutes,0.000271316,0.000444494,0.000126161,0.000482623,0.000463714,9.63E-05,0.000541035,0.000385988,0.000296963,0.000451751,0.000141975,0.00015451,0.000140992,0.000609887,0.000182409,0.000300106,3.60E-05,0.000399708,0.000212391,0.000223842,0.000272963,0.000433595,0.000406708,0.000854571,0.000101237,0.000270358,0.000799529,0.000216374,0.00034664,4.17E-05,0.000624739,0.00094653,0.000369459,0.000757247,0.000233003,0.011390644,0.000311661,0.000719587,0.000479454,0.00030484,9.63E-05,0.000205268,0.000271774,0.000373801,0.000555538,5.90E-05,0.0002454,0.00010733,0.000454443,0.000926218,0.000332908,4.85E-05,0.000386896,0.000971839,0.000475159,0.000718278,0.000393146,0.001239674,0.00029744,0.000939868,0.00068257,0.000425871,0.000169505,0.000427059,0.000472304,0.000132997,0.000697549,0.000548662,0.000407356,0.001110427,0.000466747,0.000128091,0.000201809,0.000167835,0.000781588,0.000114724,0.00040956,0.000366502,0.001621432,0.000543995,0.000174679,0.000195849,5.67E-05,4.80E-05,5.78E-05,0.000221284,0.000303735,0.000336848,0.00037083,0.000565686,0.000334319,0.000398597,0.000456441,0.000164426,0.000315561,5.65E-05,0.000182044,0.000203784,0.000308948,0.000551332,0.000363927,0.000180162,0.000429887,8.76E-05,0.000583258,0.000313296,0.000204319,9.21E-05,0.000213685,0.000105024,0.000341942,0.000268971,0.000186879,0.000303258,0.001464649,0.000645267,0.000303632,0.000107813,0.00095865,0.000495757
