SampleID,province,species
YGH1,JS,human
YGH6,JS,human
YGH7,JS,human
YGH10,JS,human
YGH11,JS,human
YGH12,JS,human
YGH14,JS,human
YGH16,JS,human
YGH17,JS,human
YGH19,JS,human
YGH20,JS,human
YGH25,JS,human
YGH26,JS,human
YGH27,JS,human
YGH28,JS,human
YGH30,JS,human
YGH31,JS,human
YGH34,JS,human
YGH35,JS,human
YGH37,JS,human
YGH38,JS,human
YGH39,JS,human
YGH40,JS,human
YGH41,JS,human
YGH43,JS,human
YGH44,JS,human
YGH45,JS,human
YGH47,JS,human
YGH48,JS,human
YGH49,JS,human
SCH1,SC,human
SCH2,SC,human
SCH3,SC,human
SCH4,SC,human
SCH5,SC,human
SCH6,SC,human
SCH7,SC,human
SCH8,SC,human
SCH9,SC,human
SCH10,SC,human
SCH11,SC,human
SCH12,SC,human
SCH13,SC,human
SCH14,SC,human
SCH15,SC,human
SCH16,SC,human
SCH17,SC,human
SCH18,SC,human
SCH19,SC,human
SCH20,SC,human
SCH21,SC,human
SCH22,SC,human
SCH23,SC,human
SCH24,SC,human
SCH25,SC,human
SCH26,SC,human
SCH27,SC,human
SCH28,SC,human
SCH29,SC,human
SCH30,SC,human
YNH1,YN,human
YNH2,YN,human
YNH3,YN,human
YNH4,YN,human
YNH5,YN,human
YNH6,YN,human
YNH7,YN,human
YNH8,YN,human
YNH9,YN,human
YNH10,YN,human
YNH11,YN,human
YNH12,YN,human
YNH13,YN,human
YNH14,YN,human
YNH15,YN,human
YNH16,YN,human
YNH17,YN,human
YNH18,YN,human
YNH19,YN,human
YNH20,YN,human
YNH21,YN,human
YNH22,YN,human
YNH23,YN,human
YNH24,YN,human
YNH25,YN,human
YNH26,YN,human
YNH27,YN,human
YNH28,YN,human
YNH29,YN,human
GZH1,GZ,human
GZH5,GZ,human
GZH6,GZ,human
GZH10,GZ,human
GZH11,GZ,human
GZH12,GZ,human
GZH13,GZ,human
GZH14,GZ,human
GZH15,GZ,human
GZH16,GZ,human
GZH17,GZ,human
GZH18,GZ,human
GZH19,GZ,human
GZH20,GZ,human
GZH21,GZ,human
GZH22,GZ,human
GZH23,GZ,human
GZH24,GZ,human
GZH25,GZ,human
GZH26,GZ,human
GZH27,GZ,human
GZH28,GZ,human
GZH29,GZ,human
GZH30,GZ,human
GZH31,GZ,human
GZH32,GZ,human
GZH33,GZ,human
GZH34,GZ,human
GZH35,GZ,human
GZH36,GZ,human
YGP1,JS,pig
YGP2,JS,pig
YGP3,JS,pig
YGP4,JS,pig
YGP7,JS,pig
YGP10,JS,pig
YGP15,JS,pig
YGP18,JS,pig
YGP23,JS,pig
YGP24,JS,pig
YGP26,JS,pig
YGP30,JS,pig
YGP31,JS,pig
YGP32,JS,pig
YGP33,JS,pig
YGP34,JS,pig
YGP35,JS,pig
YGP36,JS,pig
YGP38,JS,pig
YGP39,JS,pig
YGP40,JS,pig
YGP41,JS,pig
YGP43,JS,pig
YGP44,JS,pig
YGP45,JS,pig
YGP46,JS,pig
YGP47,JS,pig
YGP48,JS,pig
YGP49,JS,pig
YGP50,JS,pig
YNP3,YN,pig
YNP4,YN,pig
YNP5,YN,pig
YNP7,YN,pig
YNP8,YN,pig
YNP9,YN,pig
YNP10,YN,pig
YNP11,YN,pig
YNP12,YN,pig
YNP13,YN,pig
YNP14,YN,pig
YNP15,YN,pig
YNP16,YN,pig
YNP17,YN,pig
YNP19,YN,pig
YNP21,YN,pig
YNP22,YN,pig
YNP23,YN,pig
YNP24,YN,pig
YNP25,YN,pig
YNP26,YN,pig
YNP28,YN,pig
YNP29,YN,pig
YNP30,YN,pig
YNP31,YN,pig
YNP32,YN,pig
YNP33,YN,pig
YNP34,YN,pig
YNP36,YN,pig
YNP37,YN,pig
GZP1,GZ,pig
GZP2,GZ,pig
GZP3,GZ,pig
GZP4,GZ,pig
GZP5,GZ,pig
GZP6,GZ,pig
GZP7,GZ,pig
GZP8,GZ,pig
GZP9,GZ,pig
GZP10,GZ,pig
GZP11,GZ,pig
GZP12,GZ,pig
GZP13,GZ,pig
GZP14,GZ,pig
GZP15,GZ,pig
GZP16,GZ,pig
GZP17,GZ,pig
GZP18,GZ,pig
GZP19,GZ,pig
GZP20,GZ,pig
GZP21,GZ,pig
GZP22,GZ,pig
GZP23,GZ,pig
GZP24,GZ,pig
GZP25,GZ,pig
GZP26,GZ,pig
GZP27,GZ,pig
GZP28,GZ,pig
GZP29,GZ,pig
GZP30,GZ,pig
SCP1,SC,pig
SCP2,SC,pig
SCP3,SC,pig
SCP4,SC,pig
SCP5,SC,pig
SCP6,SC,pig
SCP7,SC,pig
SCP8,SC,pig
SCP9,SC,pig
SCP10,SC,pig
SCP11,SC,pig
SCP12,SC,pig
SCP13,SC,pig
SCP14,SC,pig
SCP15,SC,pig
SCP16,SC,pig
SCP17,SC,pig
SCP18,SC,pig
SCP19,SC,pig
SCP20,SC,pig
SCP21,SC,pig
SCP22,SC,pig
SCP23,SC,pig
SCP24,SC,pig
SCP25,SC,pig
SCP26,SC,pig
SCP27,SC,pig
SCP28,SC,pig
SCP29,SC,pig
SCP30,SC,pig
YGC1,JS,chicken
YGC2,JS,chicken
YGC3,JS,chicken
YGC4,JS,chicken
YGC5,JS,chicken
YGC7,JS,chicken
YGC8,JS,chicken
YGC9,JS,chicken
YGC11,JS,chicken
YGC12,JS,chicken
YGC14,JS,chicken
YGC15,JS,chicken
YGC16,JS,chicken
YGC18,JS,chicken
YGC25,JS,chicken
YGC26,JS,chicken
YGC27,JS,chicken
YGC31,JS,chicken
YGC36,JS,chicken
YGC38,JS,chicken
YGC39,JS,chicken
YGC41,JS,chicken
YGC43,JS,chicken
YGC45,JS,chicken
YGC47,JS,chicken
YGC48,JS,chicken
YGC50,JS,chicken
YGC51,JS,chicken
YGC52,JS,chicken
YGC53,JS,chicken
SCC1,SC,chicken
SCC2,SC,chicken
SCC3,SC,chicken
SCC4,SC,chicken
SCC5,SC,chicken
SCC6,SC,chicken
