,GZP2,SCP25,SCP13,SCP5,GZP16,SCP24,YGP43,SCP19,YGP35,YGP40,YNP17,YGP3,YGP10,YGP1,GZP22,YNP25,YNP16,YNP19,YNP7,YNP15,SCP12,SCP23,SCP3,GZP28,YGP7,YNP26,YGP24,GZP5,GZP27,YNP33,YGP30,YGP38,YNP31,GZP13,SCP18,YNP21,YGP41,SCP6,YGP39,SCP20,YNP14,SCP26,SCP9,SCP17,YGP15,SCP1,GZP15,YGP45,SCP29,GZP17,YGP48,GZP24,GZP9,YGP46,YGP23,SCP8,SCP4,GZP8,GZP4,YGP31,YGP44,YNP37,GZP25,SCP28,YNP5,GZP1,GZP30,YNP12,YNP24,YNP4,GZP6,SCP22,SCP10,GZP11,SCP30,YGP2,YGP49,SCP21,GZP26,YGP36,GZP7,YGP18,SCP16,SCP15,YNP30,GZP18,YNP32,GZP29,GZP12,YGP50,YNP34,YNP29,YGP34,YNP10,YNP9,GZP19,YNP23,YNP8,GZP23,SCP11,GZP3,YNP28,GZP20,YGP47,YNP3,SCP14,GZP21,YNP36,GZP14,YGP33,YNP22,YGP26,SCP2,GZP10,SCP7,YNP11,SCP27,YGP32,YGP4,YNP13
d__Bacteria;k__unclassified_d__Bacteria;p__Firmicutes,0.870955945,0.671820768,0.670907234,0.724235393,0.730835902,0.281737209,0.735391547,0.691237257,0.811401797,0.871065655,0.914097389,0.895835102,0.909249387,0.926257145,0.729078354,0.853707775,0.875038767,0.816314319,0.766204801,0.883340699,0.711870079,0.610780126,0.700463122,0.732926524,0.857601931,0.90876619,0.899473205,0.751025788,0.763560282,0.869487152,0.796777521,0.891849994,0.898365026,0.847909152,0.606007327,0.87760654,0.936814789,0.628774858,0.890060897,0.679630931,0.894246487,0.458474714,0.7150567,0.887023284,0.533941205,0.73058286,0.795108377,0.959996058,0.645972628,0.762165749,0.829620746,0.793553816,0.718867883,0.840287318,0.727560295,0.612960713,0.714386383,0.765102841,0.767515127,0.922204692,0.90916252,0.907139719,0.781248107,0.679646899,0.849424939,0.71925089,0.759678149,0.892986589,0.90846483,0.91645855,0.741832064,0.599843056,0.751200589,0.745354353,0.70813229,0.923571184,0.789634501,0.609361341,0.736109565,0.929966471,0.76929468,0.827434045,0.446398702,0.737180153,0.886671498,0.752376091,0.849156806,0.772825547,0.764428725,0.914024802,0.830741148,0.847545187,0.857581698,0.924296765,0.924078894,0.697780274,0.894246411,0.854575794,0.874192332,0.671720233,0.666715592,0.866841652,0.767927916,0.818074224,0.897898447,0.762488163,0.772284769,0.826489056,0.758583976,0.936467395,0.912625694,0.925208405,0.528478733,0.775477572,0.562023202,0.891011035,0.825239029,0.873995809,0.869365618,0.794330752
d__Bacteria;k__unclassified_d__Bacteria;p__Bacteroidota,0.018627584,0.152211474,0.148705539,0.0724037,0.020719224,0.134420228,0.051955328,0.200413162,0.107480467,0.03656067,0.008402174,0.010654566,0.035741182,0.018777873,0.01760164,0.006352383,0.016287816,0.055578019,0.046502926,0.039751562,0.047899586,0.162108146,0.081775376,0.035326076,0.030241978,0.022549429,0.015873979,0.024323713,0.020076347,0.030748892,0.082132471,0.023804788,0.016475773,0.019897417,0.311920191,0.023777515,0.014472721,0.169826846,0.013374585,0.164013881,0.011665785,0.221065366,0.076361894,0.010320009,0.175908948,0.100073118,0.041639213,0.011904008,0.134309358,0.035409913,0.039049901,0.014754978,0.021218226,0.03689245,0.176007311,0.134745229,0.086554037,0.016543497,0.017273605,0.019521387,0.019723198,0.009361371,0.022199754,0.091910242,0.053858987,0.019714233,0.02438811,0.00768644,0.008003358,0.021991365,0.060983246,0.051908101,0.069206296,0.04950353,0.155659295,0.012776328,0.061484314,0.096004286,0.071203915,0.011957753,0.03656714,0.064498894,0.183497982,0.129219659,0.031016266,0.024436561,0.06037835,0.045944142,0.030233597,0.027018518,0.087782402,0.014016289,0.029645371,0.010807331,0.011985801,0.026258275,0.007444488,0.082718775,0.015264089,0.101623781,0.013663697,0.064186018,0.019497639,0.021990426,0.005435894,0.071629117,0.034587377,0.019809352,0.021065479,0.012414289,0.0053772,0.022731999,0.068731304,0.016760991,0.136181936,0.008621655,0.071366299,0.017607005,0.029728424,0.098356099
d__Bacteria;k__unclassified_d__Bacteria;p__Actinobacteria,0.047533237,0.036713289,0.007809393,0.00664149,0.157968796,0.008463752,0.15678639,0.036925333,0.019088574,0.020927316,0.01523239,0.033908198,0.012020666,0.011672648,0.175167666,0.023648371,0.015533881,0.012506362,0.01060845,0.008074158,0.010971001,0.008329577,0.007417121,0.08210443,0.014277308,0.006965935,0.016760482,0.086998526,0.125580537,0.016058953,0.020346356,0.030350943,0.007517374,0.054150437,0.001451571,0.033780903,0.009110288,0.005022675,0.028180147,0.019496418,0.014960473,0.006063743,0.01037126,0.009163582,0.055608236,0.00543775,0.095672674,0.01247684,0.006017798,0.111819568,0.019123661,0.117286141,0.159980391,0.022601892,0.012083939,0.003796374,0.003632091,0.14532871,0.122480313,0.009232477,0.019074289,0.016447847,0.100436604,0.010534526,0.010660736,0.177300619,0.111576279,0.017456428,0.02826485,0.009769439,0.119120872,0.026041426,0.00863233,0.114271309,0.005776792,0.017645598,0.01358813,0.028643109,0.099263718,0.017118385,0.129076248,0.019205037,0.048994761,0.008671538,0.042096006,0.122325893,0.014082098,0.099386155,0.136521113,0.008835183,0.00611804,0.054138909,0.042663325,0.021620395,0.008070958,0.130038497,0.017113525,0.009688834,0.034265423,0.005307359,0.236294534,0.009097322,0.12396505,0.036493484,0.024093844,0.012922586,0.112793007,0.009510804,0.131243657,0.013900618,0.030364654,0.008456699,0.013348326,0.129564776,0.004929676,0.017543847,0.002732946,0.03189944,0.031432302,0.008115362
d__Archaea;k__unclassified_d__Archaea;p__Euryarchaeota,0.017554228,0.036551744,0.044671262,0.030825576,0.051533307,0.010221536,0.015835777,0.000967085,0.001854238,0.016513256,0.010199873,0.02170621,0.00856381,0.011072477,0.035641825,0.005372113,0.00630858,0.019131354,0.046749105,0.015813239,0.070271204,0.04856603,0.081364037,0.047031987,0.023075211,0.011152042,0.015675417,0.066750789,0.049767487,0.015281379,0.013196877,0.016668985,0.010045835,0.0261705,0.001625289,0.006250346,0.022553087,0.049475346,0.022587426,0.027166218,0.001764376,0.07075467,0.082015873,0.017533797,0.02464171,0.117815589,0.019875066,0.000913245,0.109224498,0.047481162,0.0373663,0.028547972,0.066498734,0.037874457,0.001242147,0.041237539,0.059588524,0.031484569,0.033191854,0.030050278,0.018224124,0.006318338,0.041072345,0.104513287,0.025088791,0.043751063,0.025975272,0.015679787,0.001494309,0.014616664,0.02492553,0.138493291,0.037259034,0.031699998,0.050524994,0.008785415,0.070102832,0.074940072,0.031475585,0.011552493,0.01717845,0.012327934,0.018651277,0.048325798,0.001407919,0.063516508,0.023311044,0.030035343,0.020008742,0.00582208,0.01750208,0.001662196,0.026634992,0.003948292,0.035961042,0.010037433,0.001920218,0.01152421,0.033571886,0.097214896,0.021653053,0.013104277,0.053413508,0.003226474,0.0133914,0.069946823,0.030213605,0.024564575,0.034950647,0.022363878,0.001919908,0.020489781,0.088482267,0.026814934,0.040340242,0.001771549,0.025754468,0.031813571,0.015573677,0.013103547
d__Bacteria;k__unclassified_d__Bacteria;p__Proteobacteria,0.016733694,0.055075099,0.063259807,0.052657332,0.010810436,0.470856961,0.005158004,0.023014651,0.004369136,0.005933449,0.008625983,0.002645633,0.013632001,0.002063029,0.01114064,0.024581376,0.006243557,0.006983403,0.022366557,0.004118987,0.090502386,0.104757272,0.080768955,0.013446342,0.003439867,0.002233673,0.00679273,0.006754387,0.014477316,0.005403654,0.011416913,0.002200831,0.032414294,0.023299559,0.006499303,0.013576117,0.002070059,0.108431984,0.001873033,0.032812385,0.024249937,0.166766189,0.03155679,0.049161078,0.131398877,0.006076069,0.004357231,0.001908541,0.012859443,0.00600981,0.003253083,0.011410936,0.009264581,0.008230198,0.005115846,0.066533291,0.022902707,0.009737581,0.013131061,0.002028061,0.002049636,0.014945597,0.016616763,0.015731895,0.014506163,0.012412352,0.008666525,0.006752097,0.027463255,0.003460875,0.003111224,0.10003093,0.087718674,0.009773317,0.013875506,0.022993618,0.005099688,0.11894018,0.006182719,0.001869403,0.002498073,0.010158531,0.019228737,0.035230494,0.011896666,0.0119506,0.01805619,0.009752282,0.00451402,0.006342267,0.00473118,0.013531868,0.005385051,0.013699174,0.00392534,0.11253674,0.01969025,0.008117814,0.014179943,0.027171482,0.039577433,0.008525851,0.008288774,0.112507577,0.008361609,0.037654088,0.008284132,0.013213192,0.009280211,0.002122178,0.026170718,0.002610893,0.182507872,0.013493278,0.057439775,0.021053723,0.016271376,0.005365119,0.002455182,0.008250855
d__Bacteria;k__unclassified_d__Bacteria;p__Spirochaetes,0.008229604,0.027658896,0.046252209,0.080131148,0.005211388,0.040126458,0.015903564,0.010158641,0.014872686,0.016949248,0.001297153,0.021255906,0.003156428,0.016232616,0.004435774,0.000696355,0.000834365,0.060847502,0.040705979,0.006121603,0.042315644,0.034627671,0.024514847,0.04271794,0.0310703,0.018201341,0.026009213,0.027100276,0.007376742,0.016457272,0.035413822,0.015108709,0.010190836,0.00904953,0.005388369,0.005623273,0.003353963,0.015185193,0.029203884,0.042000395,0.001167247,0.019925897,0.061336626,0.009422325,0.044917124,0.015711043,0.005886324,0.004127078,0.046510776,0.005299351,0.033254732,0.00236545,0.005515148,0.029128922,0.025035328,0.115363695,0.068466273,0.003586007,0.001985497,0.003114069,0.015986931,0.001645756,0.004937721,0.051947972,0.018904877,0.005389772,0.051476559,0.008600651,0.000330319,0.003202551,0.011068032,0.034254275,0.020684522,0.012756301,0.037960207,0.000757537,0.02820102,0.030316071,0.014245636,0.008721898,0.012283759,0.029146721,0.023290658,0.007462105,0.010068308,0.005340182,0.015549763,0.008226174,0.008212473,0.023682657,0.021496113,0.000425609,0.010053025,0.001156952,0.003507804,0.004440258,0.000765534,0.003574594,0.008996964,0.060651438,0.003991778,0.003743725,0.005871531,0.002569941,0.003978776,0.026067415,0.003211362,0.010317626,0.020705386,0.002299373,0.000368199,0.005343495,0.096302902,0.002683738,0.163125539,0.000723325,0.031867029,0.012562222,0.030839135,0.048961115
d__Bacteria;k__unclassified_d__Bacteria;p__unclassified_d__Bacteria,0.008403676,0.007434824,0.009815017,0.014940882,0.011085036,0.017893962,0.006366602,0.019281787,0.008856918,0.012746999,0.009631781,0.004561181,0.006931522,0.005296383,0.01517163,0.007207897,0.007207332,0.006905545,0.005827137,0.013784295,0.009467641,0.014752032,0.009693837,0.007015319,0.00898023,0.007028062,0.005486357,0.00701126,0.006400322,0.011077704,0.012983435,0.00766093,0.008331426,0.008321593,0.008699533,0.010910576,0.006771885,0.009719729,0.004819011,0.010798436,0.0061189,0.01772876,0.013545224,0.006913971,0.009058069,0.008264379,0.019560271,0.002651488,0.009504937,0.020479986,0.010147639,0.022507112,0.009929814,0.009068066,0.010690108,0.013364689,0.01538093,0.019288283,0.027706245,0.007501147,0.005989497,0.008758099,0.016421514,0.011090181,0.010805113,0.011719949,0.006199611,0.007166345,0.006226426,0.011920591,0.017609649,0.01681562,0.010834845,0.019593518,0.012040294,0.007128761,0.010532827,0.01677159,0.014401921,0.005376114,0.017703387,0.012035064,0.01250047,0.021835564,0.005909027,0.010628467,0.008871295,0.016243336,0.022176242,0.006082739,0.010311826,0.010380901,0.0102266,0.008460787,0.008562526,0.00789715,0.006665682,0.008600012,0.007416604,0.010823539,0.008353102,0.009547085,0.008900975,0.003120987,0.006812434,0.011031068,0.023718771,0.005906463,0.011357615,0.005885339,0.007307358,0.008023817,0.013162422,0.024606825,0.015461611,0.006507269,0.010114486,0.008463755,0.007229156,0.008272309
d__Bacteria;k__unclassified_d__Bacteria;p__Tenericutes,0.001612363,0.004604563,0.002802551,0.011606469,0.002696017,0.009502899,0.008487238,0.005828941,0.020374561,0.013109055,0.004962282,0.006086595,0.003558154,0.002699126,0.002527972,0.003432379,0.003887083,0.013287258,0.003416583,0.014778689,0.003110979,0.007182101,0.002856112,0.023373256,0.022995533,0.013623315,0.009842441,0.014831995,0.003243526,0.008956148,0.018756624,0.008513692,0.007920614,0.001476051,0.004881432,0.011646508,0.00169571,0.003374134,0.006901393,0.012569063,0.010729439,0.01421927,0.004548861,0.001987515,0.003604295,0.011819924,0.00744847,0.002502531,0.010956037,0.003289887,0.019640105,0.002985749,0.001871873,0.008937721,0.026560489,0.005675611,0.022852961,0.002409464,0.004526936,0.002395728,0.005865238,0.002646648,0.006013471,0.012341512,0.010560695,0.002409697,0.004151727,0.013846353,0.001989722,0.009809433,0.010759912,0.021684393,0.002991369,0.007825795,0.003637011,0.001416384,0.01164733,0.011221483,0.016535099,0.010188161,0.007128447,0.016716576,0.037596659,0.000363085,0.005325508,0.002120026,0.004040028,0.009985846,0.005311435,0.004735088,0.012495038,0.003815949,0.012735517,0.001325255,0.000797915,0.002747868,0.009574799,0.012377415,0.002619423,0.002814512,0.00250885,0.013795662,0.001989366,0.000561953,0.009927382,0.001881438,0.004811051,0.002884735,0.003126705,0.001724359,0.001845379,0.002721386,0.000905154,0.003259759,0.010511641,0.008389332,0.000604038,0.012044595,0.008804163,0.008097803
d__Bacteria;k__unclassified_d__Bacteria;p__Planctomycetota,0.001884358,4.55E-05,0.000834353,0.000317303,0.000264754,0.000372315,0.000104769,0.001316085,0.000639753,0.000327415,0.000594556,8.11E-05,2.03E-05,4.40E-05,0.0002838,0.000476005,0.000276776,0.00066942,0.051874208,0.00022744,0.004111143,0.00171861,0.000323736,0.000225155,0.000194738,0.001675525,0.000122698,0.000232017,0.00015292,0.02239801,0.000260096,0.000138088,0.000486261,0.001676119,0.000173719,0.000603254,3.72E-05,0.001637905,0.00016032,7.24E-05,0.001149089,0.001086128,0.000187565,0.000478088,0.000885071,0.000544205,0.002006336,2.09E-05,0.000568737,0.000646339,0.000131082,0.000385657,0.000255538,0.000499683,0.000761253,0.00032514,0.000412986,0.000300356,0.00043297,0.000123998,0.000147624,0.00128726,0.000264175,0.000475461,0.000399223,0.000249189,0.000135998,0.000851441,0.000222084,0.000215141,0.002430449,0.000804208,0.001393581,0.001794358,0.001671147,0.000100376,0.000596877,0.000915894,0.001896314,0.000151494,0.001679245,0.000367156,0.000249914,0.000205093,0.001384056,0.000310145,0.000533156,0.001246865,0.001410129,0.000185862,0.000332064,0.001293507,0.000120399,0.001309061,0.000112239,0.000156469,0.000908692,0.001029937,0.000928569,0.000444084,0.000613405,0.001007739,0.00024803,2.91E-05,0.000678545,0.000630374,0.000654985,0.083699568,0.000262582,4.87E-05,7.93E-05,3.88E-05,0.000974187,0.000694354,0.000387214,0.000917555,0.000291935,0.000151669,0.000111241,0.002880839
d__Bacteria;k__unclassified_d__Bacteria;p__Fibrobacteres,0.000645595,0.00014313,0.000768372,0.000408141,0.000290704,0.017512864,0.000263721,0.004171318,0.001045139,0.001773958,0.000295892,0.000217036,0.000190669,0.000586905,0.000252886,0.000165467,0.000216321,0.001051955,0.000528767,0.000914813,0.003985491,0.000528588,0.000384983,0.000416197,0.001555366,0.00014216,0.000215657,0.000380705,0.000237543,0.000292154,0.003152638,0.000456123,0.000198337,0.00059678,0.000450679,0.00017914,0.000376495,0.000588514,0.00037029,0.000484811,0.00010714,0.000775161,0.000215515,5.18E-05,0.001356135,0.000164309,0.000699143,8.39E-05,0.00823604,0.000203745,0.001699847,0.000181744,0.000182592,0.001082285,0.001353299,0.00075524,0.000548354,0.000147919,0.000308112,0.00083729,0.000333375,0.00017839,0.000301213,0.015812904,0.000300056,0.000278194,0.000424826,0.000120353,0.000130824,0.000445539,0.001179224,0.000891141,0.00230292,0.000918495,0.003629814,0.000211449,0.004297725,0.000466907,0.000928059,0.000304218,0.000335582,0.002743519,0.000521027,0.000108177,0.000264835,0.000207834,0.000330731,0.000329073,0.00031765,0.000400512,0.000607153,0.000126135,0.000390795,7.77E-05,0.000157232,0.000564076,0.00011301,0.000177751,0.001463115,0.004937809,0.00047223,0.000206262,0.000250702,9.61E-05,0.000140535,0.001400919,0.000280778,0.000147751,0.00039312,0.000242937,0.000140599,0.000537831,0.001750189,0.000265564,0.001490227,0.000122178,0.000737026,0.000443383,0.000357618,0.000593944
